N,M,policy,mean_aoii,std_aoii,mean_delta
30,0,Whittle,43.00390666666667,2.735399902545228,34.56197
30,0,MaxAge,49.46508,4.161194504364768,33.95327666666667
30,0,Myopic,43.65899666666667,3.052164416659466,35.16305666666666
30,0,WorstState,252.81483000000003,3.8694945001023386,94.33342666666667
30,0,Random,72.1899,3.0973096040129935,48.485816666666665
50,1,Whittle,64.47609,1.4481782798329805,50.530344
50,1,MaxAge,87.04047999999999,3.7204727143630536,55.120858
50,1,Myopic,65.814798,1.9490763689183652,51.00174199999999
50,1,WorstState,257.216998,4.7227876270224085,96.46190200000001
50,1,Random,98.20737199999999,2.9715618959893746,62.72022199999999
100,3,Whittle,46.96423,1.2997840750986294,38.357106
100,3,MaxAge,56.496902999999996,2.6393047379075028,37.714636999999996
100,3,Myopic,47.817536,1.1393706096981802,39.224632
100,3,WorstState,255.603092,2.0187991609112617,94.83437099999999
100,3,Random,79.95446199999999,2.9797073911973317,52.612315
200,6,Whittle,47.1104505,1.3130866332680593,38.5322345
200,6,MaxAge,56.689121,1.8165083526270949,37.953165
200,6,Myopic,48.3139015,1.4473884689900125,39.653805000000006
200,6,WorstState,254.410649,2.465466454028322,94.7833785
200,6,Random,80.85261700000001,1.4173451646497373,52.76474
