heterogeneity,budget_ratio,M,N,whittle_aoii,myopic_aoii,maxage_aoii,worststate_aoii,random_aoii,gap_pct,whittle_p95,myopic_p95,p95_gap
homogeneous,0.01,1,50,72.19215873015872,70.4919365079365,74.15222222222222,256.77241269841267,122.6324126984127,-2.4119385938997424,97.72066666666666,90.97466666666666,-7.415251132183314
homogeneous,0.02,1,50,72.19215873015872,70.4919365079365,74.15222222222222,256.77241269841267,122.6324126984127,-2.4119385938997424,97.72066666666666,90.97466666666666,-7.415251132183314
homogeneous,0.05,2,50,33.61749206349206,33.760730158730155,34.166666666666664,245.86142857142855,74.31685714285715,0.4242742812867064,45.810333333333325,43.889,-4.377710436176086
homogeneous,0.1,5,50,8.139460317460319,8.50590476190476,8.753333333333332,220.5622222222222,24.820158730158727,4.308118356622445,12.111333333333333,12.586999999999998,3.7790312756547664
medium,0.01,1,50,76.64993650793652,75.00942857142859,91.33142857142856,255.32457142857143,128.2766984126984,-2.187068969530594,108.98133333333332,99.81533333333333,-9.1829578621855
medium,0.02,1,50,76.64993650793652,75.00942857142859,91.33142857142856,255.32457142857143,128.2766984126984,-2.187068969530594,108.98133333333332,99.81533333333333,-9.1829578621855
medium,0.05,2,50,37.51031746031746,39.27377777777778,44.13749206349206,244.94047619047623,81.42285714285714,4.490172367523394,55.447999999999986,54.08833333333333,-2.513789172033381
medium,0.1,5,50,10.313460317460319,10.28577777777778,10.597936507936506,217.9986031746032,29.748317460317462,-0.269134141147271,14.667666666666662,14.701666666666663,0.23126629633828844
high,0.01,1,50,74.06787301587302,73.98768253968255,84.44469841269841,255.12409523809524,121.37825396825396,-0.1083835490420412,106.53766666666665,96.99133333333333,-9.84246015107878
high,0.02,1,50,74.06787301587302,73.98768253968255,84.44469841269841,255.12409523809524,121.37825396825396,-0.1083835490420412,106.53766666666665,96.99133333333333,-9.84246015107878
high,0.05,2,50,35.84584126984127,34.96355555555555,42.06803174603175,245.05511111111113,76.90971428571429,-2.5234439125729318,50.359,47.57566666666667,-5.850329650311429
high,0.1,5,50,9.970666666666666,10.07279365079365,10.38488888888889,221.86955555555554,28.736571428571427,1.0138893703926692,14.845333333333329,15.23433333333333,2.553442881211307
